Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
003_CGO,CGO,82,4.8,192,14,54,32,0,0,0,0,1.536,0,0,3.264,0.672,2.592,1.536,0,0,0,0,2
006_HFO,HFO,13,2.9,116,0,8,19,17,21,22,13,2.668,2.117,1.624,0.232,0,0.232,0.551,0.493,0.609,0.638,0.377,6
007_HFO,HFO,112,1.8,72,2,3,1,2,10,36,47,1.728,1.71,1.674,0.09,0.036,0.054,0.018,0.036,0.18,0.648,0.846,7
008_HFO,HFO,51,27,1080,0,7,44,22,14,10,2,24.84,12.96,7.02,1.89,0,1.89,11.88,5.94,3.78,2.7,0.54,3
009_gasoline,NAPTHA,23,25,1000,93,7,0,0,0,0,0,0,0,0,25,23.25,1.75,0,0,0,0,0,1
011_kerosine,KER,143,0.46,18.4,45,55,0,0,0,0,0,0,0,0,0.46,0.207,0.253,0,0,0,0,0,2
012_CGO,CGO,116,8,320,9,63,27,1,0,0,0,2.24,0.08,0,5.76,0.72,5.04,2.16,0.08,0,0,0,2
016_kerosine,KER,1,1.5,60,48,52,0,0,0,0,0,0,0,0,1.5,0.72,0.78,0,0,0,0,0,2
017_HFO,HFO,6,0.62,24.8,0,1,22,22,21,21,13,0.6138,0.4774,0.341,0.0062,0,0.0062,0.1364,0.1364,0.1302,0.1302,0.0806,4
018_HFO,HFO,131,3.5,140,0,2,19,26,23,20,10,3.43,2.765,1.855,0.07,0,0.07,0.665,0.91,0.805,0.7,0.35,4
020_HFO,HFO,84,4.4,176,3,29,14,7,15,22,10,2.992,2.376,2.068,1.408,0.132,1.276,0.616,0.308,0.66,0.968,0.44,2
021_HFO,HFO,32,13,520,0,3,46,30,14,6,2,12.74,6.76,2.86,0.39,0,0.39,5.98,3.9,1.82,0.78,0.26,3
024_HFO,HFO,92,3.6,144,1,17,36,23,14,9,1,2.988,1.692,0.864,0.648,0.036,0.612,1.296,0.828,0.504,0.324,0.036,3
025_HFO,HFO,133,2.9,116,1,12,28,22,18,13,5,2.494,1.682,1.044,0.377,0.029,0.348,0.812,0.638,0.522,0.377,0.145,3
028_HFO,HFO,139,4.8,192,0,3,36,33,18,8,2,4.656,2.928,1.344,0.144,0,0.144,1.728,1.584,0.864,0.384,0.096,3
031_HFO,HFO,98,5.2,208,0,2,13,27,28,22,9,5.148,4.472,3.068,0.104,0,0.104,0.676,1.404,1.456,1.144,0.468,5
034_HFO,HFO,161,48,1920,0,1,24,40,21,11,3,47.52,36,16.8,0.48,0,0.48,11.52,19.2,10.08,5.28,1.44,4
036_OLBO,BO,68,2.4,96,2,27,32,15,12,11,0,1.68,0.912,0.552,0.696,0.048,0.648,0.768,0.36,0.288,0.264,0,3
041_CGO,CGO,21,0.22,8.8,0,60,39,1,0,0,0,0.088,0.0022,0,0.132,0,0.132,0.0858,0.0022,0,0,0,2
043_kerosine,KER,5,2.6,104,62,38,0,0,0,0,0,0,0,0,2.6,1.612,0.988,0,0,0,0,0,1
046_gasoline,NAPTHA,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
049_kerosine,KER,142,2.8,112,52,48,0,0,0,0,0,0,0,0,2.8,1.456,1.344,0,0,0,0,0,1
050_HFO,HFO,59,5,200,0,0,20,44,27,8,1,5,4,1.8,0,0,0,1,2.2,1.35,0.4,0.05,4
056_gasoline,NAPTHA,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
058_HFO,HFO,119,9.1,364,1,30,30,15,14,9,0,6.188,3.458,2.093,2.821,0.091,2.73,2.73,1.365,1.274,0.819,0,3
059_dieselfuel,KER,29,0.24,9.6,17,82,2,0,0,0,0,0.0048,0,0,0.2376,0.0408,0.1968,0.0048,0,0,0,0,2
060_OLBO,BO,26,0.14,5.6,0,20,22,9,11,26,12,0.112,0.0812,0.0686,0.028,0,0.028,0.0308,0.0126,0.0154,0.0364,0.0168,6
061_P_Hwax,WAX,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
062_P_Hwax,WAX,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
